0,25,38,39,40
77,0.76766,0.59088,0.57818,0.51373
90,0.69011,0.50686,0.44939,0.42783
103,0.62096,0.43718,0.36883,0.39232
117,0.48099,0.29854,0.26107,0.26005
130,0.40649,0.26665,0.25996,0.24111
143,0.36348,0.28278,0.25224,0.23219
157,0.34174,0.24354,0.23574,0.24047
170,0.40317,0.25493,0.24788,0.27577
185,0.36096,0.30016,0.26459,0.24599
200,0.35759,0.30406,0.30577,0.31074
215,0.33572,0.34844,0.35431,0.32504
230,0.42654,0.31325,0.32713,0.31234
250,0.34468,0.24026,0.26175,0.23357
270,0.15598,0.14858,0.15274,0.139
295,0.092967,0.068922,0.067257,0.061245
