0,401,402,403,404,405
77,0.57298,0.54786,0.5354,0.55693,0.55329
88,0.48065,0.52057,0.5077,0.5119,0.50521
100,0.46358,0.48395,0.48948,0.47629,0.47833
110,0.4766,0.47947,0.45801,0.46933,0.47085
120,0.47668,0.45082,0.48051,0.44193,0.46248
130,0.47741,0.48706,0.47163,0.49835,0.48361
140,0.48651,0.46807,0.50809,0.47553,0.48455
150,0.49286,0.51478,0.52709,0.53959,0.51858
160,0.55314,0.58182,0.53349,0.55883,0.55682
170,0.58943,0.60262,0.60167,0.59682,0.59764
180,0.63444,0.66728,0.66583,0.61874,0.64657
190,0.72088,0.68602,0.72372,0.70372,0.70859
200,0.76447,0.79004,0.80339,0.75993,0.77946
210,0.7522,0.80913,0.82004,0.82625,0.8019
220,0.83618,0.79973,0.84971,0.83832,0.83099
230,0.75739,0.81201,0.78883,0.80853,0.79169
240,0.66744,0.7272,0.72187,0.66167,0.69455
251,0.53523,0.5716,0.55228,0.54876,0.55197
262,0.39928,0.39548,0.41035,0.4014,0.40162
273,0.25868,0.26988,0.26329,0.26722,0.26477
284,0.16624,0.17996,0.17985,0.17413,0.17504
295,0.1089,0.11219,0.11692,0.11867,0.11417
